target_idx,context_size,model_name,model_id,route,provider_pin,prompt_version,llm_output,provider,usage,finish_reason,error,attempts,score,match,divergence,length_ratio,refusal,failed
875,3,gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,openrouter,google-ai-studio,v2.1,"In another case, a ship was struck by a whale, which shewed no signs of being hurt by the blow, but sheered off, and was seen no more. It is a well-known fact, that the sperm whale is a very dangerous animal, and that he is often known to attack ships, and to stove them in, and that he is also known to be a very vindictive animal, and that he will often pursue a boat, and even a ship, for a long distance, and that he will often attack a ship, and stove her in, and that he will often attack a boat, and stove it in, and that he will often attack a man, and kill him.",Google AI Studio,"{'completion_tokens': 143, 'prompt_tokens': 706, 'total_tokens': 849, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.000391, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.000391, 'upstream_inference_prompt_cost': 0.0001765, 'upstream_inference_completions_cost': 0.0002145}}",stop,,1,48.0,False,0.125,6.4772727272727275,False,False
1058,1,gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,openrouter,google-ai-studio,v2.1,"‘Down, dog!’ cried the captain, and sprang at him in a trance of passion, intent on killing him with his bare hands, or else rending him limb from limb. But Steelkilt was a giant in strength, and after a short struggle, in which the captain was thrown to the deck, the mutineer stood over him, and with an eye of fire, commanded his comrades to stand back and let him finish the work. It was a fearful sight, that man of iron standing there, with his foot upon the neck of his commander, while the rest of the crew looked on in silent, breathless awe, waiting for the blow that would seal the fate of the ship and all on board.",Google AI Studio,"{'completion_tokens': 145, 'prompt_tokens': 202, 'total_tokens': 347, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.000268, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.000268, 'upstream_inference_prompt_cost': 5.05e-05, 'upstream_inference_completions_cost': 0.0002175}}",stop,,1,44.0,False,0.05,6.207920792079208,False,False
1729,10,gemini-3.1-flash-lite,google/gemini-3.1-flash-lite,openrouter,google-ai-studio,v2.1,"By this ingenious plan, the two conspirators ascended to the Captain’s round-house; and while the Guernsey-man went in to announce his visitor, Stubb remained without, and presently heard the Captain’s voice, which was shrill and querulous, demanding what the stranger wanted. Immediately afterwards, he was beckoned in; and finding himself in the presence of the Captain, who was sitting behind a desk, with a large bottle of smelling-salts at his nose, Stubb bowed, and then, with a most solemn face, began to deliver his message.",Google AI Studio,"{'completion_tokens': 118, 'prompt_tokens': 959, 'total_tokens': 1077, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.00041675, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.00041675, 'upstream_inference_prompt_cost': 0.00023975, 'upstream_inference_completions_cost': 0.000177}}",stop,,1,45.0,False,0.030612244897959183,1.3571428571428572,False,False
1093,3,qwen3.8-27b,qwen/qwen3.8-27b,openrouter,akashml,v2.1,"The whole ship was instantly in a bustle; the boats were lowered; the crew rushed to their stations; and the great white whale, with his spout rising like a column of smoke, was seen to be approaching the ship with a speed that was almost terrifying.",AkashML,"{'completion_tokens': 55, 'prompt_tokens': 451, 'total_tokens': 506, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.00037895, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.00037895, 'upstream_inference_prompt_cost': 0.00020295, 'upstream_inference_completions_cost': 0.000176}}",stop,,1,39.0,False,0.0,2.100840336134454,False,False
1058,1,mistral-medium-3.5,mistralai/mistral-medium-3-5,openrouter,mistral,v2.1,"""‘So now,’ cried Steelkilt, ‘we have two and two,—you two owners, and we two seamen.  You are in our power, Captain.  But we won’t touch a rope-yarn to help this ship along, unless you swear not to flog us.’""",Mistral,"{'completion_tokens': 64, 'prompt_tokens': 213, 'total_tokens': 277, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.0007995, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.0007995, 'upstream_inference_prompt_cost': 0.0003195, 'upstream_inference_completions_cost': 0.00048}}",stop,,1,42.0,False,0.01,2.0594059405940595,False,False
2426,3,claude-haiku-4.5,anthropic/claude-haiku-4.5,openrouter,anthropic,v2.1,"But soon resuming his horizontal attitude, Moby Dick swam swiftly round and round the wrecked crew; sideways churning the water in his vengeful wake, as if lashing himself up to some fresh assault. Meanwhile, from the other boats the rescue of the swimming seamen was as yet impossible, for Ahab and his crew lay in the very centre of the monster's evolutions; and there, when next we shall see them, midway in the act of being pulled into the yawning jaws of death itself, we must leave them for a moment, to attend to lesser matters in this part of the world.",Anthropic,"{'completion_tokens': 138, 'prompt_tokens': 702, 'total_tokens': 840, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.001392, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.001392, 'upstream_inference_prompt_cost': 0.000702, 'upstream_inference_completions_cost': 0.00069}}",stop,,1,43.0,False,0.0,1.7,False,False
875,3,mistral-medium-3.5,mistralai/mistral-medium-3-5,openrouter,mistral,v2.1,"Now, as this appalling ocean is shut in by the land on all sides, as the inmost Alps only know the Alps for their neighbors, so the creatures of this watery world, the Esquimaux of the sea, know but the billows for their never-ending hills. So that, notwithstanding its unexampled magnitude, and the vast number of its inhabitants, this ocean has no cheerful side; no shore, no cove, no haven, no castern head-land, where the wearied wave may roll the pebble up to a soft mossy seat, and the sun look down to bless. The ungraspable phantom of life; and this is the key to it all.",Mistral,"{'completion_tokens': 151, 'prompt_tokens': 737, 'total_tokens': 888, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.002238, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.002238, 'upstream_inference_prompt_cost': 0.0011055, 'upstream_inference_completions_cost': 0.0011325}}",stop,,1,42.0,False,0.0,6.579545454545454,False,False
1093,3,qwen3.7-max,qwen/qwen3.7-max,openrouter,alibaba,v2.1,"“Moby Dick!” shouted Starbuck; “the same whale that took off my leg last voyage, and the same that stove the boat of Captain Ahab’s ship, the Pequod, three years ago!” “Aye, aye!” cried Stubb, “I know him well; he is the white whale that has been seen in these seas for many years, and is known to all whalemen as the most ferocious and cunning of his kind.” But Captain Ahab, who had been standing motionless at the rail, gazing intently toward the horizon where the whale had been sighted, now turned slowly toward his officers with a look of wild exultation mingled with terrible resolve, and in a voice that trembled with suppressed emotion, exclaimed, “There she blows! There she blows again! The hump like a snow-hill in the sea! It is Moby Dick!”",Alibaba,"{'completion_tokens': 186, 'prompt_tokens': 451, 'total_tokens': 637, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.001488275, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.001488275, 'upstream_inference_prompt_cost': 0.000665225, 'upstream_inference_completions_cost': 0.00082305}}",stop,,1,45.0,False,0.09322033898305085,6.3277310924369745,False,False
2438,1,qwen3.8-27b,qwen/qwen3.8-27b,openrouter,akashml,v2.1,"But at length, as the sun began to sink, the whale’s spout was seen to rise at a greater distance than before; and when, at the appointed hour, Ahab called for the answer, the reply was, “No, sir! he’s gone down, and we can’t see him.” Then, with a sudden, fierce motion, Ahab seized the binnacle, and, with a voice that seemed to come from the very depths of the sea, he cried, “Ah, old man! old man! thou art a fool! Thou art a fool! Thou art a fool!” And then, with a sudden, fierce motion, he seized the binnacle, and, with a voice that seemed to come from the very depths of the sea, he cried, “Ah, old man! old man! thou art a fool! Thou art a fool! Thou art a fool!”",AkashML,"{'completion_tokens': 184, 'prompt_tokens': 537, 'total_tokens': 721, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.00083045, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.00083045, 'upstream_inference_prompt_cost': 0.00024165, 'upstream_inference_completions_cost': 0.0005888}}",stop,,1,46.0,False,0.0,1.230347349177331,False,False
1627,1,claude-haiku-4.5,anthropic/claude-haiku-4.5,openrouter,anthropic,v2.1,"There was a time when I should have been quick to laugh at the absurdities of mankind; but now, the contemplation of so much suffering, so much error, so much depravity, begat in me a certain melancholy, a certain gravity of soul. And as I gazed upon those frenzied whales, and thought of the still more frenzied masses of humanity, I could not but feel that we are all, in some sense, the victims of that same blind panic which drives the whale to madness. For what is civilization but a thin veneer over the abyss of our animal nature? What are our laws and customs but feeble attempts to restrain the wild impulses that lurk within us all? And when that veneer cracks, when the abyss yawns before us, how quickly do we revert to the condition of those gallied whales, swimming in circles of terror and despair!",Anthropic,"{'completion_tokens': 203, 'prompt_tokens': 554, 'total_tokens': 757, 'completion_tokens_details': {'accepted_prediction_tokens': None, 'audio_tokens': 0, 'reasoning_tokens': 0, 'rejected_prediction_tokens': None, 'image_tokens': 0}, 'prompt_tokens_details': {'audio_tokens': 0, 'cached_tokens': 0, 'cache_write_tokens': 0, 'video_tokens': 0}, 'cost': 0.001569, 'is_byok': False, 'cost_details': {'upstream_inference_cost': 0.001569, 'upstream_inference_prompt_cost': 0.000554, 'upstream_inference_completions_cost': 0.001015}}",stop,,1,45.0,False,0.0022123893805309734,0.8993362831858407,False,False
